nom,dates,lieu,start_date,end_date
OPEN FLAIR FESTIVAL 2025,"August 6- 10, 2025","Eschwege, Germany",2025-08-06,2025-08-10
OUTSIDE LANDS 2025,"August 8- 10, 2025","San Francisco, CA",2025-08-08,2025-08-10
PYRAMID FESTIVAL 2025,"August 4- 10, 2025","Ilino, Serbia",2025-08-04,2025-08-10
RE/EVOLUTION FESTIVAL 2025,"August 6- 10, 2025","Darrington, WA",2025-08-06,2025-08-10
REBELLION FESTIVAL 2025,"August 7- 10, 2025","Blackpool, UK",2025-08-07,2025-08-10
ROCKY MOUNTAIN FOLKS FESTIVAL 2025,"August 8- 10, 2025","Lyons, CO",2025-08-08,2025-08-10
SAN JOSE JAZZ FESTIVAL 2025,"August 8- 10, 2025","San Jose, California",2025-08-08,2025-08-10
SMUKFEST 2025,"August 3- 10, 2025","Skanderborg, Denmark",2025-08-03,2025-08-10
SONNEMONDSTERNE 2025,"August 8- 10, 2025","Saalburg-Ebersdorf, Germany",2025-08-08,2025-08-10
SUMMER WELL 2025,"August 8- 10, 2025","Buftea, Romania",2025-08-08,2025-08-10
SUMMER’S END SMOKEOUT 2025,"August 7- 10, 2025","Republic, MI",2025-08-07,2025-08-10
TAUBERTAL FESTIVAL 2025,"August 7- 10, 2025","Rothenburg ob der Tauber, Germany",2025-08-07,2025-08-10
TELLURIDE JAZZ FESTIVAL 2025,"August 8- 10, 2025","Telluride, CO",2025-08-08,2025-08-10
UNTOLD FESTIVAL 2025,"August 7- 10, 2025","Cluj, Romania",2025-08-07,2025-08-10
VOICES OF AMERICA 2025,"August 7- 10, 2025","Cincinnati, OH",2025-08-07,2025-08-10
YPSIGROCK FESTIVAL 2025,"August 7- 10, 2025","Castelbuono, Sicily",2025-08-07,2025-08-10
ZIN IN DE ZOMER FEST 2025,"August 10,  2025","Spaarnwoude, Netherlands",2025-08-10,2025-08-10
BLOODSTOCK 2025,"August 7- 11, 2025","Derbyshire, UK",2025-08-07,2025-08-11
FUTURE FOREST 2025,"August 7- 11, 2025","Fredericton, NB",2025-08-07,2025-08-11
MEDUSA SUNBEACH FESTIVAL 2025,"August 7- 11, 2025","Cullera, Spain",2025-08-07,2025-08-11
STILLDREAM FESTIVAL 2025,"August 7- 11, 2025","Belden, CA",2025-08-07,2025-08-11
SZIGET 2025,"August 6- 11, 2025","Budapest, Hungary",2025-08-06,2025-08-11
BARRAKUD CROATIA 2025,"August 10- 14, 2025","Novalja, Croatia",2025-08-10,2025-08-14
BASH ON THE BAY 2025,"August 13- 14, 2025","Put-In-Bay, OH",2025-08-13,2025-08-14
FM4 FREQUENCY FESTIVAL 2025,"August 13- 15, 2025","St. Polten, Austria",2025-08-13,2025-08-15
ARCTANGENT 2025,"August 13- 16, 2025","Compton Martin, UK",2025-08-13,2025-08-16
BLOCKFEST 2025,"August 15- 16, 2025","Tampere, Finland",2025-08-15,2025-08-16
BREAKAWAY FESTIVAL MICHIGAN 2025,"August 15- 16, 2025","Grand Rapids, MI",2025-08-15,2025-08-16
DEEP TROPICS 2025,"August 15- 16, 2025","Nashville, TN",2025-08-15,2025-08-16
ECHELON 2025,"August 15- 16, 2025","Bad Aibling, Germany",2025-08-15,2025-08-16
FINDINGS FESTIVAL 2025,"August 15- 16, 2025","Oslo, Norway",2025-08-15,2025-08-16
GATHERING OF THE JUGGALOS 2025,"August 13- 16, 2025","Thornville, OH",2025-08-13,2025-08-16
GLITCH FESTIVAL 2025,"August 13- 16, 2025","Haz-Zebbug, Malta",2025-08-13,2025-08-16
HALIFAX SEAPORT CIDER BEERFEST 2025,"August 14- 16, 2025","Halifax, NS",2025-08-14,2025-08-16
LA ROUTE DU ROCK 2025,"August 13- 16, 2025","St Malo, France",2025-08-13,2025-08-16
LASSO MONTREAL 2025,"August 15- 16, 2025","Montreal, QC",2025-08-15,2025-08-16
MACHAC FESTIVAL 2025,"August 15- 16, 2025","Doksy, Czech",2025-08-15,2025-08-16
MS DOCKVILLE 2025,"August 15- 16, 2025","Hamburg, Germany",2025-08-15,2025-08-16
OAK PARK MICROBREW REVIEW 2025,"August 16,  2025","Oak Park, IL",2025-08-16,2025-08-16
PANORAMA FESTIVAL ITALY 2025,"August 14- 16, 2025","Vitigliano, Italy",2025-08-14,2025-08-16
PAREDES DE COURA 2025,"August 13- 16, 2025","Paredes de Coura, Portugal",2025-08-13,2025-08-16
PARK CITY SONG SUMMIT 2025,"August 14- 16, 2025","Park City, UT",2025-08-14,2025-08-16
PSTEREO FESTIVAL 2025,"August 15- 16, 2025","Trondheim, Norway",2025-08-15,2025-08-16
RED VALLEY 2025,"August 13- 16, 2025","Sardinia, Italy",2025-08-13,2025-08-16
RHYMEFEST 2025,"August 16,  2025","Los Angeles, CA",2025-08-16,2025-08-16
ROCK CASTLE 2025,"August 14- 16, 2025","Moravsky Krumlov, Czech",2025-08-14,2025-08-16
ROCK N ROLL CIRCUS NORWICH 2025,"August 14- 16, 2025","Norwich, UK",2025-08-14,2025-08-16
SAN HEJMO FESTIVAL 2025,"August 15- 16, 2025","Weeze, NRW, Germany",2025-08-15,2025-08-16
SHAQS BASS ALL STARS PHOENIX 2025,"August 16,  2025","Phoenix, AZ",2025-08-16,2025-08-16
SUMMER BREEZE 2025,"August 13- 16, 2025","Dinkelsbuhl, Germany",2025-08-13,2025-08-16
AFROFUTURE DETROIT 2025,"August 16- 17, 2025","Detroit, MI",2025-08-16,2025-08-17
AQUASELLA FESTIVAL 2025,"August 14- 17, 2025","Arriondas, Spain",2025-08-14,2025-08-17
BASS CANYON 2025,"August 15- 17, 2025","George, WA",2025-08-15,2025-08-17
BEAUTIFUL DAYS 2025,"August 15- 17, 2025","Ottery Saint Mary, UK",2025-08-15,2025-08-17
CABARET VERT 2025,"August 14- 17, 2025","Charleville-Mézières, France",2025-08-14,2025-08-17
CAMP REDWOODS 2025,"August 15- 17, 2025","Navarro, CA",2025-08-15,2025-08-17
COUNTRY THUNDER ALBERTA 2025,"August 15- 17, 2025","Calgary, AB",2025-08-15,2025-08-17
DECIBEL OUTDOOR FESTIVAL 2025,"August 15- 17, 2025","Hilvarenbeek, Netherlands",2025-08-15,2025-08-17
DROPS FESTIVAL 2025,"August 12- 17, 2025","Tenetiše, Slovenia",2025-08-12,2025-08-17
DYNAMO METALFEST 2025,"August 15- 17, 2025","Eindhoven, Netherlands",2025-08-15,2025-08-17
FIELD MANEUVERS 2025,"August 15- 17, 2025","Norfolk, UK",2025-08-15,2025-08-17
FIELD OF VISION FESTIVAL 2025,"August 15- 17, 2025","Buena Vista, CO",2025-08-15,2025-08-17
GREEN MAN FESTIVAL 2025,"August 14- 17, 2025","Brecon Beacons, Wales",2025-08-14,2025-08-17
GREEN MOUNTAIN BLUEGRASS FEST 2025,"August 14- 17, 2025","Manchester, VT",2025-08-14,2025-08-17
HARDWICK FESTIVAL 2025,"August 15- 17, 2025","Stockton-on-Tees, UK",2025-08-15,2025-08-17
HIGHFIELD FESTIVAL 2025,"August 15- 17, 2025","Leipzig, Germany",2025-08-15,2025-08-17
LOVESTREAM FESTIVAL 2025,"August 15- 17, 2025","Bratislava, Slovakia",2025-08-15,2025-08-17
LOWLANDS FESTIVAL 2025,"August 15- 17, 2025","Biddinghuizen, Netherlands",2025-08-15,2025-08-17
MILWAUKEE IRISH FEST 2025,"August 14- 17, 2025","Milwaukee, WI",2025-08-14,2025-08-17
MOTOCULTOR FESTIVAL 2025,"August 14- 17, 2025","Carhaix-Plouguer, France",2025-08-14,2025-08-17
OPEN AIR GAMPEL 2025,"August 14- 17, 2025","Gampel, Switzerland",2025-08-14,2025-08-17
PERSEIDS FESTIVAL 2025,"August 14- 17, 2025","Cres, Croatia",2025-08-14,2025-08-17
PHILADELPHIA FOLK FESTIVAL 2025,"August 15- 17, 2025","Upper Salford, PA",2025-08-15,2025-08-17
PUKKELPOP 2025,"August 14- 17, 2025","Kiewit-Hasselt, Belgium",2025-08-14,2025-08-17
PURBECK VALLEY FOLK FESTIVAL 2025,"August 14- 17, 2025","Wareham, UK",2025-08-14,2025-08-17
REWIND FESTIVAL SOUTH 2025,"August 15- 17, 2025","Henley, UK",2025-08-15,2025-08-17
RIVERFEST ELORA 2025,"August 15- 17, 2025","Elora, ON",2025-08-15,2025-08-17
SOL BLUME 2025,Cancelled,"Sacramento, CA",Cancelled,Cancelled
SPLASH HOUSE 2025,"August 8- 17, 2025","Palm Springs, CA",2025-08-08,2025-08-17
STOWAWAY FESTIVAL 2025,"August 15- 17, 2025","Buckinghamshire, UK",2025-08-15,2025-08-17
SUMMER SONIC 2025,"August 16- 17, 2025","Tokyo/Osaka, Japan",2025-08-16,2025-08-17
TRIBFEST 2025,"August 15- 17, 2025","Driffield, UK",2025-08-15,2025-08-17
UTAH BEER FESTIVAL 2025,"August 16- 17, 2025","Salt Lake City, UT",2025-08-16,2025-08-17
WAO FESTIVAL 2025,"August 13- 17, 2025","San Venanzo, Italy",2025-08-13,2025-08-17
WE OUT HERE 2025,"August 14- 17, 2025","Wimborne St Giles, UK",2025-08-14,2025-08-17
WECANDANCE 2025,"August 15- 17, 2025","Zeebrugge Beach, Belgium",2025-08-15,2025-08-17
A.WAKE FESTIVAL 2025,"August 16- 18, 2025","Westmeath, Ireland",2025-08-16,2025-08-18
ANOTHER WORLD MUSIC FESTIVAL 2025,Cancelled,"Wrexham, Wales",Cancelled,Cancelled
MEADOWS IN THE MOUNTAINS 2025,Cancelled,"Rhodope Mountains, Bulgaria",Cancelled,Cancelled
SOUL SESSION MALTA 2025,"August 14- 19, 2025","St Paul's Bay, Malta",2025-08-14,2025-08-19
SONUS FESTIVAL 2025,"August 17- 21, 2025","Novalja, Croatia",2025-08-17,2025-08-21
CANELA PARTY 2025,"August 20- 23, 2025","Torremolinos, Spain",2025-08-20,2025-08-23
DRY DIGGINGS 2025,"August 22- 23, 2025","Auburn, CA",2025-08-22,2025-08-23
EASTERN ELECTRICS 2025,Cancelled,"London, UK",Cancelled,Cancelled
FEELINGS FESTIVAL 2025,"August 22- 23, 2025","Bergen, Norway",2025-08-22,2025-08-23
FESTIVAL COUNTRY LOTBINIÈRE 2025,"August 21- 23, 2025","St. Agapit, QC",2025-08-21,2025-08-23
ROTOTOM SUNSPLASH 2025,"August 16- 23, 2025","Castellón, Spain",2025-08-16,2025-08-23
SAN JUAN BREWFEST 2025,"August 22- 23, 2025","Durango, CO",2025-08-22,2025-08-23
SOUTH FACING FESTIVAL 2025,"August 10- 23, 2025","London, UK",2025-08-10,2025-08-23
SOUTH SOUND BLOCK PARTY 2025,"August 22- 23, 2025","Olympia, WA",2025-08-22,2025-08-23
STRAND FESTIVAL 2025,"August 21- 23, 2025","Zamárdi, Hungary",2025-08-21,2025-08-23
SUSET FESTIVAL 2025,"August 22- 23, 2025","Esbjerg, Denmark",2025-08-22,2025-08-23
THE BIG WHAT? 2025,"August 21- 23, 2025","Pittsboro, NC",2025-08-21,2025-08-23
THING FESTIVAL 2025,"August 2- 23, 2025","Carnation, WA",2025-08-02,2025-08-23
TOUQUET MUSIC BEACH 2025,"August 22- 23, 2025","Le Touquet-Paris-Plage, France",2025-08-22,2025-08-23
V AND B FEST 2025,"August 22- 23, 2025","Château-Gontier-sur-Mayenne, France",2025-08-22,2025-08-23
VILAR DE MOUROS 2025,"August 21- 23, 2025","Vilar de Mouros, Portugal",2025-08-21,2025-08-23
YQM COUNTRY FEST 2025,"August 21- 23, 2025","Dieppe, NB",2025-08-21,2025-08-23
ALL POINTS EAST FESTIVAL 2025,"August 21- 24, 2025","London, UK",2025-08-21,2025-08-24
AMA MUSIC FESTIVAL 2025,"August 20- 24, 2025","Romano D'ezzelino, Italy",2025-08-20,2025-08-24
BLACK BEAR AMERICANA MUSIC FEST 2025,"August 22- 24, 2025","Harwinton, CT",2025-08-22,2025-08-24
CARFEST 2025,"August 22- 24, 2025","Overton, UK",2025-08-22,2025-08-24
CREAMFIELDS 2025,"August 21- 24, 2025","Daresbury, UK",2025-08-21,2025-08-24
EMERGE FESTIVAL 2025,"August 23- 24, 2025","Belfast, UK",2025-08-23,2025-08-24
FORWARDS FESTIVAL 2025,"August 23- 24, 2025","Bristol, UK",2025-08-23,2025-08-24
FOUND FESTIVAL 2025,"August 22- 24, 2025","Buckinham, UK",2025-08-22,2025-08-24
GONE WILD FESTIVAL 2025,"August 21- 24, 2025","Exeter, UK",2025-08-21,2025-08-24
LALALA FESTIVAL 2025,"August 22- 24, 2025","Jakarta, Indonesia",2025-08-22,2025-08-24
LEEDS FESTIVAL 2025,"August 21- 24, 2025","Leeds, UK",2025-08-21,2025-08-24
LOST VILLAGE 2025,"August 21- 24, 2025","Lincolnshire, UK",2025-08-21,2025-08-24
MARCUS KING BAND REUNION 2025,"August 23- 24, 2025","North Charleston, SC",2025-08-23,2025-08-24
MUTEK MONTREAL 2025,"August 20- 24, 2025","Montreal, QC",2025-08-20,2025-08-24
MYSTERYLAND 2025,"August 22- 24, 2025","Haarlemmermeer, Netherlands",2025-08-22,2025-08-24
NIBIRII FESTIVAL 2025,"August 22- 24, 2025","Duren, Germany",2025-08-22,2025-08-24
READING FESTIVAL 2025,"August 21- 24, 2025","Reading, UK",2025-08-21,2025-08-24
ROCK EN SEINE 2025,"August 20- 24, 2025","Paris, France",2025-08-20,2025-08-24
SHAMBALA MUSIC FESTIVAL 2025,"August 21- 24, 2025","Northamptonshire, UK",2025-08-21,2025-08-24
THE BIG FEASTIVAL 2025,"August 22- 24, 2025","Chipping Norton, UK",2025-08-22,2025-08-24
THE HOMIE COLLECTIVE CAMPOUT 2025,"August 21- 24, 2025","Russell, MA",2025-08-21,2025-08-24
THE LONG ROAD FESTIVAL 2025,"August 22- 24, 2025","Lutterworth, UK",2025-08-22,2025-08-24
VICTORIOUS FESTIVAL 2025,"August 22- 24, 2025","Portsmouth, UK",2025-08-22,2025-08-24
CAMPER CALLING 2025,"August 22- 25, 2025","Alcester, UK",2025-08-22,2025-08-25
DEKMANTEL SELECTORS 2025,"August 21- 25, 2025","Tisno, Croatia",2025-08-21,2025-08-25
ELECTRIC SKY FESTIVAL 2025,"August 22- 25, 2025","Big River, SK",2025-08-22,2025-08-25
MANCHESTER PRIDE 2025,"August 22- 25, 2025","Manchester, UK",2025-08-22,2025-08-25
SHREWSBURY FOLK FESTIVAL 2025,"August 22- 25, 2025","Shrewsbury, UK",2025-08-22,2025-08-25
TUNES IN THE PARK 2025,"August 21- 25, 2025","Cornwall, UK",2025-08-21,2025-08-25
EDINBURGH SUMMER SESSIONS 2025,"August 22- 26, 2025","Edinburgh, Scotland",2025-08-22,2025-08-26
ACIELOAPERTO FESTIVAL 2025,"July 16- August 29, 2025","Rocca Malatestian, Italy",2025-07-16,2025-08-29
BELFAST VITAL 2025,"August 28- 29, 2025","Belfast, UK",2025-08-28,2025-08-29
BRIGHTON PSYCH FEST 2025,"August 29,  2025","Brighton, UK",2025-08-29,2025-08-29
ON THE BLUE CRUISE 2025,"August 22- 29, 2025","Boston, Halifax, &amp; St. John, Canada",2025-08-22,2025-08-29
BASSCON WASTELAND FESTIVAL 2025,"August 29- 30, 2025","San Bernardino, CA",2025-08-29,2025-08-30
HEROES FESTIVAL HANNOVER 2025,"August 29- 30, 2025","Hannover, Germany",2025-08-29,2025-08-30
KARRUSEL 2025,"August 28- 30, 2025","Copenhagen, Denmark",2025-08-28,2025-08-30
LINDISFARNE FESTIVAL 2025,"August 28- 30, 2025","Berwick-upon-Tweed, UK",2025-08-28,2025-08-30
MANCHESTER PSYCH FEST 2025,"August 30,  2025","Manchester, UK",2025-08-30,2025-08-30
PEORIA BLUES AND HERITAGE FESTIVAL 2025,"August 29- 30, 2025","Peoria, IL",2025-08-29,2025-08-30
SOUTH OCEAN FESTIVAL 2025,"August 29- 30, 2025","Malmo, Sweden",2025-08-29,2025-08-30
SUMMER PEAK FESTIVAL 2025,"August 23- 30, 2025","Novalja, Croatia",2025-08-23,2025-08-30
SZIN 2025,"August 27- 30, 2025","Szeged, Hungary",2025-08-27,2025-08-30
TONDER FESTIVAL 2025,"August 27- 30, 2025","Tønder, Denmark",2025-08-27,2025-08-30
ZEEZOUT FESTIVAL 2025,"August 30,  2025","Amsterdam, Netherlands",2025-08-30,2025-08-30
ZURICH OPENAIR 2025,"August 22- 30, 2025","Zurich, Switzerland",2025-08-22,2025-08-30
ADIRONDACK INDEPENDENCE MUSIC FESTIVAL 2025,"August 29- 31, 2025","Lake George, NY",2025-08-29,2025-08-31
ARC MUSIC FESTIVAL 2025,"August 29- 31, 2025","Chicago, IL",2025-08-29,2025-08-31
BUMBERSHOOT 2025,"August 30- 31, 2025","Seattle, WA",2025-08-30,2025-08-31
CAVEMAN MUSIC FESTIVAL 2025,"August 28- 31, 2025","Weston, Colorado",2025-08-28,2025-08-31
CHICAGO JAZZ FESTIVAL 2025,"August 28- 31, 2025","Chicago, Illinois",2025-08-28,2025-08-31
DELAWARE VALLEY BLUEGRASS FESTIVAL 2025,"August 29- 31, 2025","Woodstown, NJ",2025-08-29,2025-08-31
DELTA FESTIVAL 2025,"August 27- 31, 2025","Marseille, France",2025-08-27,2025-08-31
EARL SCRUGGS MUSIC FESTIVAL 2025,"August 29- 31, 2025","Mill Spring, NC",2025-08-29,2025-08-31
EDINBURGH PSYCH FEST 2025,"August 31,  2025","Edinburgh, UK",2025-08-31,2025-08-31
ELECTRIC PICNIC 2025,"August 29- 31, 2025","Laois, Ireland",2025-08-29,2025-08-31
END OF THE ROAD FESTIVAL 2025,"August 28- 31, 2025","Tollard Royal, UK",2025-08-28,2025-08-31
FARMJAM MUSIC FESTIVAL 2025,"August 29- 31, 2025","Colville, WA",2025-08-29,2025-08-31
FREE EARTH FESTIVAL 2025,"August 25- 31, 2025","Halkdiki, Greece",2025-08-25,2025-08-31
FRONT PORCH FESTIVAL 2025,"August 28- 31, 2025","Staurt, VA",2025-08-28,2025-08-31
GOLDEN LEAVES FESTIVAL 2025,"August 30- 31, 2025","Darmstadt, Germany",2025-08-30,2025-08-31
HIM DUB FESTIVAL 2025,"August 25- 31, 2025","Rapoula do Côa, Portugal",2025-08-25,2025-08-31
HOLO HOLO SAN DIEGO 2025,"August 30- 31, 2025","San Diego, CA",2025-08-30,2025-08-31
INTO THE GREAT WIDE OPEN 2025,"August 28- 31, 2025","Vlieland, Netherlands",2025-08-28,2025-08-31
JAZZ ASPEN SNOWMASS 2025,"August 29- 31, 2025","Snowmass, CO",2025-08-29,2025-08-31
JOHN COLTRANE JAZZ & BLUES FEST 2025,"August 30- 31, 2025","High Point, NC",2025-08-30,2025-08-31
METAMORPHIS FESTIVAL 2025,"August 29- 31, 2025",Orlando. FL,2025-08-29,2025-08-31
MOSELEY FOLK & ARTS FESTIVAL 2025,"August 29- 31, 2025","Birmingham, UK",2025-08-29,2025-08-31
NORTH COAST MUSIC FESTIVAL 2025,"August 29- 31, 2025","Chicago, IL",2025-08-29,2025-08-31
PARADIGM FESTIVAL 2025,"August 23- 31, 2025","Groningen, Netherlands",2025-08-23,2025-08-31
REGGAE RISE UP OREGON 2025,"August 29- 31, 2025","Redmond, OR",2025-08-29,2025-08-31
RHYTHM AND ROOTS 2025,"August 29- 31, 2025","Charlestown, RI",2025-08-29,2025-08-31
ROCK N ROLL CIRCUS SHEFFIELD 2025,"August 28- 31, 2025","Sheffield, UK",2025-08-28,2025-08-31
ROCKLAHOMA 2025,"August 29- 31, 2025","Pryor, OK",2025-08-29,2025-08-31
RPM FEST 2025,"August 29- 31, 2025","Montague, MA",2025-08-29,2025-08-31
SHOE FEST 2025,"August 29- 31, 2025","Manteno, IL",2025-08-29,2025-08-31
SUNDOWN FESTIVAL 2025,Cancelled,"Norwich, UK",Cancelled,Cancelled
SUPERBLOOM FESTIVAL 2025,"August 30- 31, 2025","Munich, Germany",2025-08-30,2025-08-31
UNITY AT THE SPHERE 2025,"August 29- 31, 2025","Las Vegas, NV",2025-08-29,2025-08-31
UNITY ELECTRO FEST 2025,"August 30- 31, 2025","Québec City, QC",2025-08-30,2025-08-31
BURNING MAN 2025,"August 24- September 1, 2025","Gerlach, NV",2025-08-24,2025-09-01
DETROIT JAZZ FESTIVAL 2025,"August 29- September 1, 2025","Detroit, Michigan",2025-08-29,2025-09-01
DIMENSIONS FESTIVAL 2025,"August 28- September 1, 2025","Tisno, Croatia",2025-08-28,2025-09-01
INDIAN SPIRIT FESTIVAL 2025,"August 27- September 1, 2025","Eldena, Germany",2025-08-27,2025-09-01
KARNIVAL OF THE ARTS 2025,"August 28- September 1, 2025","Kempton, PA",2025-08-28,2025-09-01
SHANGRI-LA FESTIVAL 2025,"August 29- September 1, 2025","Clark's Grove, MN",2025-08-29,2025-09-01
WICKED WOODS FESTIVAL 2025,"August 29- September 1, 2025","Fairmont Hot Springs, BC",2025-08-29,2025-09-01
DIRTYBIRD CAMPINN 2025,"August 29- September 2, 2025","Orlando, FL",2025-08-29,2025-09-02
BREAKAWAY FESTIVAL MASS 2025,"September 5- 6, 2025","Worcester, MA",2025-09-05,2025-09-06
DRAAIMOLEN FESTIVAL 2025,"September 5- 6, 2025","Tilburg, Netherlands",2025-09-05,2025-09-06
FALL RENDEZVOUS BREWFEST 2025,"September 6,  2025","Missoula, MT",2025-09-06,2025-09-06
HOPSCOTCH FESTIVAL 2025,"September 4- 6, 2025","Raleigh, NC",2025-09-04,2025-09-06
PROGPOWER USA 2025,"September 3- 6, 2025","Atlanta, GA",2025-09-03,2025-09-06
REMINISCE FESTIVAL 2025,"September 6,  2025","Saint Helens, UK",2025-09-06,2025-09-06
TOTAL LOSS 2025,"September 6,  2025","Eindhoven, NL",2025-09-06,2025-09-06
UNBROKEN CIRCLE FESTIVAL 2025,"September 4- 6, 2025","Madison, IN",2025-09-04,2025-09-06
VIVE LATINO SPAIN 2025,"September 5- 6, 2025","Zaragoza, Spain",2025-09-05,2025-09-06
BAYZARA MUSIC FESTIVAL 2025,"September 6- 7, 2025","Keansburg, NJ",2025-09-06,2025-09-07
BELGIAN BEER WEEKEND 2025,"September 5- 7, 2025","Brussels, Belgium",2025-09-05,2025-09-07
BIG BLUES BENDER 2025,"September 4- 7, 2025","Las Vegas, NV",2025-09-04,2025-09-07
BLACK SWAMP ARTS FESTIVAL 2025,"September 5- 7, 2025","Bowling Green, OH",2025-09-05,2025-09-07
DANCEFESTOPIA 2025,"September 1- 7, 2025","La Cygne, KS",2025-09-01,2025-09-07
DECIBEL OPEN AIR 2025,"September 6- 7, 2025","Florence, Italy",2025-09-06,2025-09-07
EBROVISION 2025,"September 4- 7, 2025","Miranda de Ebro, Spain",2025-09-04,2025-09-07
EVANSTON FOLK FESTIVAL 2025,"September 6- 7, 2025","Evanston, IL",2025-09-06,2025-09-07
EVOLUTIONS FESTIVAL 2025,"September 5- 7, 2025","Caneadea, NY",2025-09-05,2025-09-07
NEON PRAIRIE 2025,"September 6- 7, 2025","Tulsa, OK",2025-09-06,2025-09-07
RADIO 2 IN THE PARK 2025,"September 5- 7, 2025","Chelmsford, UK",2025-09-05,2025-09-07
SACRED ACRE FESTIVAL 2025,"September 5- 7, 2025","Ninilchik, AK",2025-09-05,2025-09-07
THE MIRACLE IN MUNDELEIN 2025,"September 6- 7, 2025","Mundelein, IL",2025-09-06,2025-09-07
UNISON 2025,"September 4- 7, 2025","Aztec, NM",2025-09-04,2025-09-07
WHEATLAND MUSIC FESTIVAL 2025,"September 5- 7, 2025","Remus, Michigan",2025-09-05,2025-09-07
AMERICANAFEST 2025,"September 9- 13, 2025","Nashville, TN",2025-09-09,2025-09-13
BEND OF THE RIVER 2025,"September 13,  2025","Mankato, MN",2025-09-13,2025-09-13
BENDER JAMBOREE 2025,"September 10- 13, 2025","Las Vegas, NV",2025-09-10,2025-09-13
BORN AND RAISED FESTIVAL 2025,"September 10- 13, 2025","Pyror, OK",2025-09-10,2025-09-13
BY:LARM 2025,"September 11- 13, 2025","Oslo, Norway",2025-09-11,2025-09-13
CALIFORNIA BREWERS FESTIVAL 2025,"September 13,  2025","Sacramento, CA",2025-09-13,2025-09-13
ELMHURST CRAFT BEER FEST 2025,"September 13,  2025","Elmhurst, IL",2025-09-13,2025-09-13
ENVOL ET MACADAM FESTIVAL 2025,"September 11- 13, 2025","Quebec City, QC",2025-09-11,2025-09-13
GOLDRUSH FEST 2025,"September 12- 13, 2025","Chandler, AZ",2025-09-12,2025-09-13
MUCKY WEEKENDER FESTIVAL 2025,"September 11- 13, 2025","Winchester, UK",2025-09-11,2025-09-13
PLISSKEN FESTIVAL 2025,"September 12- 13, 2025","Athens, Greece",2025-09-12,2025-09-13
SUNANDBASS 2025,"September 6- 13, 2025","Sardinia, Italy",2025-09-06,2025-09-13
WATERWORKS FESTIVAL 2025,"September 13,  2025","London, UK",2025-09-13,2025-09-13
YELLOWSTONE SONGWRITER FESTIVAL 2025,Cancelled,"Cody, WY",Cancelled,Cancelled
ANNAPOLIS SONGWRITERS FESTIVAL 2025,"September 11- 14, 2025","Annapolis, MD",2025-09-11,2025-09-14
BEAR MUSIC FESTIVAL 2025,"September 11- 14, 2025","Pinecrest, CA",2025-09-11,2025-09-14
BORDERLAND FESTIVAL 2025,"September 12- 14, 2025","East Aurora, NY",2025-09-12,2025-09-14
BOURBON & BEYOND 2025,"September 11- 14, 2025","Louisville, KY",2025-09-11,2025-09-14
BRECKENRIDGE OKTOBERFEST 2025,"September 12- 14, 2025","Breckenridge, CO",2025-09-12,2025-09-14
BRUGES BEER FESTIVAL 2025,"September 13- 14, 2025","Bruges, Belgium",2025-09-13,2025-09-14
CITYFOLK FESTIVAL 2025,"September 10- 14, 2025","Ottawa, ON",2025-09-10,2025-09-14
FLY OPEN AIR FEST 2025,"September 13- 14, 2025","Edinburgh, Scotland",2025-09-13,2025-09-14
FOUR CHORD MUSIC FEST 2025,"September 13- 14, 2025","Pittsburgh, PA",2025-09-13,2025-09-14
HARVEST FESTIVAL 2025,"September 9- 14, 2025","Fredericton, NB",2025-09-09,2025-09-14
HORSESHOE MUSIC FESTIVAL 2025,"September 11- 14, 2025","Jackson, WY",2025-09-11,2025-09-14
INFRASOUND EQUINOX 2025,"September 11- 14, 2025","Clarks Grove, MN",2025-09-11,2025-09-14
KNWHERE FESTIVAL 2025,"September 12- 14, 2025","Eganville, ON",2025-09-12,2025-09-14
LA FETE DE L’HUMANITIE 2025,"September 12- 14, 2025","Le Plessis-Pâté, France",2025-09-12,2025-09-14
MCHENRY MUSIC FESTIVAL 2025,"September 12- 14, 2025","McHenry, IL",2025-09-12,2025-09-14
MUSIC AT THE INTERSECTION 2025,"September 12- 14, 2025","St. Louis, MO",2025-09-12,2025-09-14
NOCTURNAL WONDERLAND 2025,"September 13- 14, 2025","San Bernardino, CA",2025-09-13,2025-09-14
PICKIN’ IN THE PINES 2025,"September 12- 14, 2025","Flagstaff, AZ",2025-09-12,2025-09-14
PSYCHIC SALAMANDER FESTIVAL 2025,"September 13- 14, 2025","Carnation, WA",2025-09-13,2025-09-14
RIFFLANDIA 2025,"September 11- 14, 2025","Victoria, BC",2025-09-11,2025-09-14
SEA.HEAR.NOW FESTIVAL 2025,"September 13- 14, 2025","Asbury Park, NJ",2025-09-13,2025-09-14
SOMMO FESTIVAL 2025,"September 13- 14, 2025","Cavendish, PEI",2025-09-13,2025-09-14
SOUND & GRAVITY 2025,"September 10- 14, 2025","Chicago, IL",2025-09-10,2025-09-14
TELLURIDE BLUES AND BREWS 2025,"September 12- 14, 2025","Telluride, CO",2025-09-12,2025-09-14
THE BEST DAY EVER FEST 2025,"September 13- 14, 2025","Portland, OR",2025-09-13,2025-09-14
THE TOWN FESTIVAL 2025,"September 6- 14, 2025","São Paulo, Brazil",2025-09-06,2025-09-14
ULTRA JAPAN 2025,"September 13- 14, 2025","Tokyo, Japan",2025-09-13,2025-09-14
