nom,dates,lieu,prix_min, prix_max
RE/EVOLUTION FESTIVAL 2025,"August 6- 10, 2025","Darrington, WA","50 EUR, 90 EUR"
REBELLION FESTIVAL 2025,"August 7- 10, 2025","Blackpool, UK","210 GBP, 230 GBP"
ROCKY MOUNTAIN FOLKS FESTIVAL 2025,"August 8- 10, 2025","Lyons, CO","86 USD, 275 USD"
SAN JOSE JAZZ FESTIVAL 2025,"August 8- 10, 2025","San Jose, California","35 USD, 350 USD"
SMUKFEST 2025,"August 3- 10, 2025","Skanderborg, Denmark","1 190 DKK, 3 690 DKK"
SONNEMONDSTERNE 2025,"August 8- 10, 2025","Saalburg-Ebersdorf, Germany","169 EUR, 209 EUR"
SUMMER WELL 2025,"August 8- 10, 2025","Buftea, Romania","570 RON, 1 350 RON"
SUMMER’S END SMOKEOUT 2025,"August 7- 10, 2025","Republic, MI","229 USD, 849 USD"
TAUBERTAL FESTIVAL 2025,"August 7- 10, 2025","Rothenburg ob der Tauber, Germany","129 EUR, 169 EUR"
TELLURIDE JAZZ FESTIVAL 2025,"August 8- 10, 2025","Telluride, CO","125 USD, 950 USD"
UNTOLD FESTIVAL 2025,"August 7- 10, 2025","Cluj, Romania","199 EUR, 649 EUR"
VOICES OF AMERICA 2025,"August 7- 10, 2025","Cincinnati, OH","299 USD, 1 299 USD"
YPSIGROCK FESTIVAL 2025,"August 7- 10, 2025","Castelbuono, Sicily","92 EUR, 132 EUR"
ZIN IN DE ZOMER FEST 2025,"August 10,  2025","Spaarnwoude, Netherlands","44,50 EUR, 54,50 EUR"
BLOODSTOCK 2025,"August 7- 11, 2025","Derbyshire, UK","190 GBP, 220 GBP"
FUTURE FOREST 2025,"August 7- 11, 2025","Fredericton, NB","299 CAD, 1 250 CAD"
MEDUSA SUNBEACH FESTIVAL 2025,"August 7- 11, 2025","Cullera, Spain","45 EUR, 150 EUR"
STILLDREAM FESTIVAL 2025,"August 7- 11, 2025","Belden, CA","369 USD, 769 USD"
SZIGET 2025,"August 6- 11, 2025","Budapest, Hungary","260 EUR, 470 EUR"
BARRAKUD CROATIA 2025,"August 10- 14, 2025","Novalja, Croatia","N/A, N/A"
BASH ON THE BAY 2025,"August 13- 14, 2025","Put-In-Bay, OH","159 USD, 279 USD"
FM4 FREQUENCY FESTIVAL 2025,"August 13- 15, 2025","St. Polten, Austria","194.99 EUR, 234.99 EUR"
ARCTANGENT 2025,"August 13- 16, 2025","Compton Martin, UK","184 GBP, 225 GBP"
BLOCKFEST 2025,"August 15- 16, 2025","Tampere, Finland","89 EUR, 239 EUR"
BREAKAWAY FESTIVAL MICHIGAN 2025,"August 15- 16, 2025","Grand Rapids, MI","89 USD, 259 USD"
DEEP TROPICS 2025,"August 15- 16, 2025","Nashville, TN","50 USD, 150 USD"
ECHELON 2025,"August 15- 16, 2025","Bad Aibling, Germany","89 EUR, 189 EUR"
FINDINGS FESTIVAL 2025,"August 15- 16, 2025","Oslo, Norway","990 NOK, 1 990 NOK"
GATHERING OF THE JUGGALOS 2025,"August 13- 16, 2025","Thornville, OH","220 USD, 650 USD"
GLITCH FESTIVAL 2025,"August 13- 16, 2025","Haz-Zebbug, Malta","89 EUR, 250 EUR"
HALIFAX SEAPORT CIDER BEERFEST 2025,"August 14- 16, 2025","Halifax, NS","45 CAD, 60 CAD"
LA ROUTE DU ROCK 2025,"August 13- 16, 2025","St Malo, France","45 EUR, 150 EUR"
LASSO MONTREAL 2025,"August 15- 16, 2025","Montreal, QC","135 CAD, 950 CAD"
MACHAC FESTIVAL 2025,"August 15- 16, 2025","Doksy, Czech","1 590 CZK, 3 290 CZK"
MS DOCKVILLE 2025,"August 15- 16, 2025","Hamburg, Germany","49 EUR, 169 EUR"
OAK PARK MICROBREW REVIEW 2025,"August 16,  2025","Oak Park, IL","50 USD, 60 USD"
PANORAMA FESTIVAL ITALY 2025,"August 14- 16, 2025","Vitigliano, Italy","50 EUR, 100 EUR"
PAREDES DE COURA 2025,"August 13- 16, 2025","Paredes de Coura, Portugal","90 EUR, 250 EUR"
PARK CITY SONG SUMMIT 2025,"August 14- 16, 2025","Park City, UT","499 USD, 2 499 USD"
PSTEREO FESTIVAL 2025,"August 15- 16, 2025","Trondheim, Norway","55 EUR, 80 EUR"
RED VALLEY 2025,"August 13- 16, 2025","Sardinia, Italy","99 EUR, 325 EUR"
RHYMEFEST 2025,"August 16,  2025","Los Angeles, CA","N/A, N/A"
ROCK CASTLE 2025,"August 14- 16, 2025","Moravsky Krumlov, Czech","1 990 CZK, 4 490 CZK"
ROCK N ROLL CIRCUS NORWICH 2025,"August 14- 16, 2025","Norwich, UK","33 GBP, 220 GBP"
SAN HEJMO FESTIVAL 2025,"August 15- 16, 2025","Weeze, NRW, Germany","149 EUR, 229 EUR"
SHAQS BASS ALL STARS PHOENIX 2025,"August 16,  2025","Phoenix, AZ","20 USD, 60 USD"
SUMMER BREEZE 2025,"August 13- 16, 2025","Dinkelsbuhl, Germany","169 EUR, 339 EUR"
AFROFUTURE DETROIT 2025,"August 16- 17, 2025","Detroit, MI","75 USD, 300 USD"
AQUASELLA FESTIVAL 2025,"August 14- 17, 2025","Arriondas, Spain","65 EUR, 160 EUR"
BASS CANYON 2025,"August 15- 17, 2025","George, WA","350 USD, 600 USD"
BEAUTIFUL DAYS 2025,"August 15- 17, 2025","Ottery Saint Mary, UK","215 GBP, 245 GBP"
CABARET VERT 2025,"August 14- 17, 2025","Charleville-Mézières, France","49EUR, 169EUR"
CAMP REDWOODS 2025,"August 15- 17, 2025","Navarro, CA","N/A, N/A"
COUNTRY THUNDER ALBERTA 2025,"August 15- 17, 2025","Calgary, AB","179 CAD, 650 CAD"
DECIBEL OUTDOOR FESTIVAL 2025,"August 15- 17, 2025","Hilvarenbeek, Netherlands","94,95 EUR, 189,95 EUR"
DROPS FESTIVAL 2025,"August 12- 17, 2025","Tenetiše, Slovenia","49.99 EUR, 89.99 EUR"
DYNAMO METALFEST 2025,"August 15- 17, 2025","Eindhoven, Netherlands","85 EUR, 215 EUR"
FIELD MANEUVERS 2025,"August 15- 17, 2025","Norfolk, UK","160 GBP, 200 GBP"
FIELD OF VISION FESTIVAL 2025,"August 15- 17, 2025","Buena Vista, CO","150 USD, 300 USD"
GREEN MAN FESTIVAL 2025,"August 14- 17, 2025","Brecon Beacons, Wales","280 GBP, 320 GBP"
GREEN MOUNTAIN BLUEGRASS FEST 2025,"August 14- 17, 2025","Manchester, VT","85 USD, 115 USD"
HARDWICK FESTIVAL 2025,"August 15- 17, 2025","Stockton-on-Tees, UK","59 GBP, 179 GBP"
HIGHFIELD FESTIVAL 2025,"August 15- 17, 2025","Leipzig, Germany","79 EUR, 179 EUR"
LOVESTREAM FESTIVAL 2025,"August 15- 17, 2025","Bratislava, Slovakia","99 EUR, 199 EUR"
LOWLANDS FESTIVAL 2025,"August 15- 17, 2025","Biddinghuizen, Netherlands","95 EUR, 325 EUR"
MILWAUKEE IRISH FEST 2025,"August 14- 17, 2025","Milwaukee, WI","20 USD, 40 USD"
MOTOCULTOR FESTIVAL 2025,"August 14- 17, 2025","Carhaix-Plouguer, France","75 EUR, 165 EUR"
OPEN AIR GAMPEL 2025,"August 14- 17, 2025","Gampel, Switzerland","199 CHF, 289 CHF"
PERSEIDS FESTIVAL 2025,"August 14- 17, 2025","Cres, Croatia","50 USD, 90 USD"
PHILADELPHIA FOLK FESTIVAL 2025,"August 15- 17, 2025","Upper Salford, PA","90 USD, 180 USD"
PUKKELPOP 2025,"August 14- 17, 2025","Kiewit-Hasselt, Belgium","265 EUR, 305 EUR"
PURBECK VALLEY FOLK FESTIVAL 2025,"August 14- 17, 2025","Wareham, UK","140 GBP, 160 GBP"
REWIND FESTIVAL SOUTH 2025,"August 15- 17, 2025","Henley, UK","175 GBP, 210 GBP"
RIVERFEST ELORA 2025,"August 15- 17, 2025","Elora, ON","90 CAD, 200 CAD"
SOL BLUME 2025,Cancelled,"Sacramento, CA","45 EUR, 160 EUR"
SPLASH HOUSE 2025,"August 8- 17, 2025","Palm Springs, CA","189 USD, 399+ USD"
STOWAWAY FESTIVAL 2025,"August 15- 17, 2025","Buckinghamshire, UK","129 GBP, 399 GBP"
SUMMER SONIC 2025,"August 16- 17, 2025","Tokyo/Osaka, Japan","18 000 JPY, 45 000 JPY"
TRIBFEST 2025,"August 15- 17, 2025","Driffield, UK","35 GBP, 125 GBP"
UTAH BEER FESTIVAL 2025,"August 16- 17, 2025","Salt Lake City, UT","15 USD, 50 USD"
WAO FESTIVAL 2025,"August 13- 17, 2025","San Venanzo, Italy","2 500 THB, 7 500 THB"
WE OUT HERE 2025,"August 14- 17, 2025","Wimborne St Giles, UK","180 GBP, 250 GBP"
WECANDANCE 2025,"August 15- 17, 2025","Zeebrugge Beach, Belgium","79 EUR, 219 EUR"
A.WAKE FESTIVAL 2025,"August 16- 18, 2025","Westmeath, Ireland","49 EUR, 129 EUR"
ANOTHER WORLD MUSIC FESTIVAL 2025,Cancelled,"Wrexham, Wales","129 GBP, 249 GBP"
MEADOWS IN THE MOUNTAINS 2025,Cancelled,"Rhodope Mountains, Bulgaria","220 GBP, 550 GBP"
SOUL SESSION MALTA 2025,"August 14- 19, 2025","St Paul's Bay, Malta","160 EUR, 350 EUR"
SONUS FESTIVAL 2025,"August 17- 21, 2025","Novalja, Croatia","179 EUR, 349 EUR"
CANELA PARTY 2025,"August 20- 23, 2025","Torremolinos, Spain","35 EUR, 85 EUR"
DRY DIGGINGS 2025,"August 22- 23, 2025","Auburn, CA","180 USD, 370 USD"
EASTERN ELECTRICS 2025,Cancelled,"London, UK","60 GBP, 180 GBP"
FEELINGS FESTIVAL 2025,"August 22- 23, 2025","Bergen, Norway","50 USD, 150 USD"
FESTIVAL COUNTRY LOTBINIÈRE 2025,"August 21- 23, 2025","St. Agapit, QC","79 CAD, 199 CAD"
ROTOTOM SUNSPLASH 2025,"August 16- 23, 2025","Castellón, Spain","200 EUR, 280 EUR"
SAN JUAN BREWFEST 2025,"August 22- 23, 2025","Durango, CO","50 USD, 60 USD"
SOUTH FACING FESTIVAL 2025,"August 10- 23, 2025","London, UK","39.50 GBP, 69.50 GBP"
SOUTH SOUND BLOCK PARTY 2025,"August 22- 23, 2025","Olympia, WA","75 USD, 150 USD"
STRAND FESTIVAL 2025,"August 21- 23, 2025","Zamárdi, Hungary","25 990 HUF, 49 990 HUF"
SUSET FESTIVAL 2025,"August 22- 23, 2025","Esbjerg, Denmark","59 USD, 249 USD"
THE BIG WHAT? 2025,"August 21- 23, 2025","Pittsboro, NC","189 USD, 289 USD"
THING FESTIVAL 2025,"August 2- 23, 2025","Carnation, WA","25USD, 150USD"
TOUQUET MUSIC BEACH 2025,"August 22- 23, 2025","Le Touquet-Paris-Plage, France","49 EUR, 99 EUR"
V AND B FEST 2025,"August 22- 23, 2025","Château-Gontier-sur-Mayenne, France","49 EUR, 119 EUR"
VILAR DE MOUROS 2025,"August 21- 23, 2025","Vilar de Mouros, Portugal","80 EUR, 150 EUR"
YQM COUNTRY FEST 2025,"August 21- 23, 2025","Dieppe, NB","99,50 CAD, 349,50 CAD"
ALL POINTS EAST FESTIVAL 2025,"August 21- 24, 2025","London, UK","79,95 GBP, 545 GBP"
AMA MUSIC FESTIVAL 2025,"August 20- 24, 2025","Romano D'ezzelino, Italy","99 EUR, 149 EUR"
BLACK BEAR AMERICANA MUSIC FEST 2025,"August 22- 24, 2025","Harwinton, CT","USD50, USD150"
CARFEST 2025,"August 22- 24, 2025","Overton, UK","39 GBP, 79 GBP"
CREAMFIELDS 2025,"August 21- 24, 2025","Daresbury, UK","GBP260, GBP320"
EMERGE FESTIVAL 2025,"August 23- 24, 2025","Belfast, UK","GBP55, GBP150"
FORWARDS FESTIVAL 2025,"August 23- 24, 2025","Bristol, UK","62 GBP, 125 GBP"
FOUND FESTIVAL 2025,"August 22- 24, 2025","Buckinham, UK","55 GBP, 198 GBP"
GONE WILD FESTIVAL 2025,"August 21- 24, 2025","Exeter, UK","89 GBP, 475 GBP"
LALALA FESTIVAL 2025,"August 22- 24, 2025","Jakarta, Indonesia","75 SGD, 185 SGD"
LEEDS FESTIVAL 2025,"August 21- 24, 2025","Leeds, UK","295 GBP, 320 GBP"
LOST VILLAGE 2025,"August 21- 24, 2025","Lincolnshire, UK","200 GBP, 600 GBP"
MARCUS KING BAND REUNION 2025,"August 23- 24, 2025","North Charleston, SC","N/A, N/A"
MUTEK MONTREAL 2025,"August 20- 24, 2025","Montreal, QC","25 CAD, 450 CAD"
MYSTERYLAND 2025,"August 22- 24, 2025","Haarlemmermeer, Netherlands","109 EUR, 299 EUR"
NIBIRII FESTIVAL 2025,"August 22- 24, 2025","Duren, Germany","179 EUR, 339 EUR"
READING FESTIVAL 2025,"August 21- 24, 2025","Reading, UK","92 GBP, 302 GBP"
ROCK EN SEINE 2025,"August 20- 24, 2025","Paris, France","69 EUR, 229 EUR"
SHAMBALA MUSIC FESTIVAL 2025,"August 21- 24, 2025","Northamptonshire, UK","280 GBP, 500 GBP"
THE BIG FEASTIVAL 2025,"August 22- 24, 2025","Chipping Norton, UK","GBP23, GBP210"
THE HOMIE COLLECTIVE CAMPOUT 2025,"August 21- 24, 2025","Russell, MA","250 USD, 450 USD"
THE LONG ROAD FESTIVAL 2025,"August 22- 24, 2025","Lutterworth, UK","120 GBP, 240 GBP"
VICTORIOUS FESTIVAL 2025,"August 22- 24, 2025","Portsmouth, UK","160 GBP, 220 GBP"
CAMPER CALLING 2025,"August 22- 25, 2025","Alcester, UK","149 GBP, 215 GBP"
DEKMANTEL SELECTORS 2025,"August 21- 25, 2025","Tisno, Croatia","N/A, N/A"
ELECTRIC SKY FESTIVAL 2025,"August 22- 25, 2025","Big River, SK","299 CAD, 1299 CAD"
MANCHESTER PRIDE 2025,"August 22- 25, 2025","Manchester, UK","32 GBP, 184,50 GBP"
SHREWSBURY FOLK FESTIVAL 2025,"August 22- 25, 2025","Shrewsbury, UK","185 GBP, 225 GBP"
TUNES IN THE PARK 2025,"August 21- 25, 2025","Cornwall, UK","45 GBP, 65 GBP"
EDINBURGH SUMMER SESSIONS 2025,"August 22- 26, 2025","Edinburgh, Scotland","55 GBP, 137.50 GBP"
ACIELOAPERTO FESTIVAL 2025,"July 16- August 29, 2025","Rocca Malatestian, Italy",N/A
BELFAST VITAL 2025,"August 28- 29, 2025","Belfast, UK","59.50 GBP, 95 GBP"
BRIGHTON PSYCH FEST 2025,"August 29,  2025","Brighton, UK","40 GBP, 130 GBP"
ON THE BLUE CRUISE 2025,"August 22- 29, 2025","Boston, Halifax, &amp; St. John, Canada","899 USD, 6 599 USD"
BASSCON WASTELAND FESTIVAL 2025,"August 29- 30, 2025","San Bernardino, CA","79 USD, 249 USD"
HEROES FESTIVAL HANNOVER 2025,"August 29- 30, 2025","Hannover, Germany","69 EUR, 189 EUR"
KARRUSEL 2025,"August 28- 30, 2025","Copenhagen, Denmark","N/A, N/A"
LINDISFARNE FESTIVAL 2025,"August 28- 30, 2025","Berwick-upon-Tweed, UK","119 GBP, 239 GBP"
MANCHESTER PSYCH FEST 2025,"August 30,  2025","Manchester, UK","44 GBP, 132 GBP"
PEORIA BLUES AND HERITAGE FESTIVAL 2025,"August 29- 30, 2025","Peoria, IL","50 USD, 120 USD"
SOUTH OCEAN FESTIVAL 2025,"August 29- 30, 2025","Malmo, Sweden","500 USD, 2 000 USD"
SUMMER PEAK FESTIVAL 2025,"August 23- 30, 2025","Novalja, Croatia","129 USD, 249 USD"
SZIN 2025,"August 27- 30, 2025","Szeged, Hungary","10 990 HUF, 49 990 HUF"
TONDER FESTIVAL 2025,"August 27- 30, 2025","Tønder, Denmark","1 595 DKK, 2 795 DKK"
ZEEZOUT FESTIVAL 2025,"August 30,  2025","Amsterdam, Netherlands","64,50 EUR, 84,50 EUR"
ZURICH OPENAIR 2025,"August 22- 30, 2025","Zurich, Switzerland","80 CHF, 240 CHF"
ADIRONDACK INDEPENDENCE MUSIC FESTIVAL 2025,"August 29- 31, 2025","Lake George, NY","40 USD, 70 USD"
ARC MUSIC FESTIVAL 2025,"August 29- 31, 2025","Chicago, IL","159 USD, 549 USD"
BUMBERSHOOT 2025,"August 30- 31, 2025","Seattle, WA","N/A, N/A"
CAVEMAN MUSIC FESTIVAL 2025,"August 28- 31, 2025","Weston, Colorado","99 USD, 299 USD"
CHICAGO JAZZ FESTIVAL 2025,"August 28- 31, 2025","Chicago, Illinois","Gratuit, Gratuit"
DELAWARE VALLEY BLUEGRASS FESTIVAL 2025,"August 29- 31, 2025","Woodstown, NJ","59 USD, 149 USD"
DELTA FESTIVAL 2025,"August 27- 31, 2025","Marseille, France","59 EUR, 179 EUR"
EARL SCRUGGS MUSIC FESTIVAL 2025,"August 29- 31, 2025","Mill Spring, NC","79 USD, 399 USD"
EDINBURGH PSYCH FEST 2025,"August 31,  2025","Edinburgh, UK","40 GBP, 120 GBP"
ELECTRIC PICNIC 2025,"August 29- 31, 2025","Laois, Ireland","280 EUR, 350 EUR"
END OF THE ROAD FESTIVAL 2025,"August 28- 31, 2025","Tollard Royal, UK","280 GBP, 320 GBP"
FARMJAM MUSIC FESTIVAL 2025,"August 29- 31, 2025","Colville, WA","50 USD, 120 USD"
FREE EARTH FESTIVAL 2025,"August 25- 31, 2025","Halkdiki, Greece","180 EUR, 250 EUR"
FRONT PORCH FESTIVAL 2025,"August 28- 31, 2025","Staurt, VA","89 USD, 139 USD"
GOLDEN LEAVES FESTIVAL 2025,"August 30- 31, 2025","Darmstadt, Germany","N/A, N/A"
HIM DUB FESTIVAL 2025,"August 25- 31, 2025","Rapoula do Côa, Portugal","4000 INR, 6000 INR"
HOLO HOLO SAN DIEGO 2025,"August 30- 31, 2025","San Diego, CA","169 USD, 1 399 USD"
INTO THE GREAT WIDE OPEN 2025,"August 28- 31, 2025","Vlieland, Netherlands","95 EUR, 230 EUR"
JAZZ ASPEN SNOWMASS 2025,"August 29- 31, 2025","Snowmass, CO","75 USD, 225 USD"
JOHN COLTRANE JAZZ & BLUES FEST 2025,"August 30- 31, 2025","High Point, NC","50 USD, 300 USD"
METAMORPHIS FESTIVAL 2025,"August 29- 31, 2025",Orlando. FL,"3 500 MKD, 7 000 MKD"
MOSELEY FOLK & ARTS FESTIVAL 2025,"August 29- 31, 2025","Birmingham, UK","59 GBP, 170 GBP"
NORTH COAST MUSIC FESTIVAL 2025,"August 29- 31, 2025","Chicago, IL","79 USD, 399 USD"
PARADIGM FESTIVAL 2025,"August 23- 31, 2025","Groningen, Netherlands","150 EUR, 220 EUR"
REGGAE RISE UP OREGON 2025,"August 29- 31, 2025","Redmond, OR","270 USD, 350 USD"
RHYTHM AND ROOTS 2025,"August 29- 31, 2025","Charlestown, RI","50 USD, 160 USD"
ROCK N ROLL CIRCUS SHEFFIELD 2025,"August 28- 31, 2025","Sheffield, UK","40 GBP, 150 GBP"
ROCKLAHOMA 2025,"August 29- 31, 2025","Pryor, OK","179 USD, 1 850 USD"
RPM FEST 2025,"August 29- 31, 2025","Montague, MA","89 USD, 149 USD"
SHOE FEST 2025,"August 29- 31, 2025","Manteno, IL","N/A, N/A"
SUNDOWN FESTIVAL 2025,Cancelled,"Norwich, UK","55 GBP, 130 GBP"
SUPERBLOOM FESTIVAL 2025,"August 30- 31, 2025","Munich, Germany","199 EUR, 289 EUR"
UNITY AT THE SPHERE 2025,"August 29- 31, 2025","Las Vegas, NV","229 USD, 399 USD"
UNITY ELECTRO FEST 2025,"August 30- 31, 2025","Québec City, QC","50 CHF, 90 CHF"
BURNING MAN 2025,"August 24- September 1, 2025","Gerlach, NV","475 USD, 2 500 USD"
DETROIT JAZZ FESTIVAL 2025,"August 29- September 1, 2025","Detroit, Michigan","N/A Gratuit, N/A Gratuit"
DIMENSIONS FESTIVAL 2025,"August 28- September 1, 2025","Tisno, Croatia","N/A, N/A"
INDIAN SPIRIT FESTIVAL 2025,"August 27- September 1, 2025","Eldena, Germany","169 EUR, 249 EUR"
KARNIVAL OF THE ARTS 2025,"August 28- September 1, 2025","Kempton, PA","25 BBD, 100 BBD"
SHANGRI-LA FESTIVAL 2025,"August 29- September 1, 2025","Clark's Grove, MN","279 USD, 279 USD"
WICKED WOODS FESTIVAL 2025,"August 29- September 1, 2025","Fairmont Hot Springs, BC","89 CAD, 269 CAD"
DIRTYBIRD CAMPINN 2025,"August 29- September 2, 2025","Orlando, FL","300 USD, 650 USD"
BREAKAWAY FESTIVAL MASS 2025,"September 5- 6, 2025","Worcester, MA","99.99 USD, 229.99 USD"
DRAAIMOLEN FESTIVAL 2025,"September 5- 6, 2025","Tilburg, Netherlands","64,50 EUR, 164,50 EUR"
FALL RENDEZVOUS BREWFEST 2025,"September 6,  2025","Missoula, MT","35 USD, 45 USD"
HOPSCOTCH FESTIVAL 2025,"September 4- 6, 2025","Raleigh, NC","249 USD, 549 USD"
PROGPOWER USA 2025,"September 3- 6, 2025","Atlanta, GA","159 USD, 339 USD"
REMINISCE FESTIVAL 2025,"September 6,  2025","Saint Helens, UK","55 GBP, 220 GBP"
TOTAL LOSS 2025,"September 6,  2025","Eindhoven, NL","169 CHF, 169 CHF"
UNBROKEN CIRCLE FESTIVAL 2025,"September 4- 6, 2025","Madison, IN","99 EUR, 119 EUR"
VIVE LATINO SPAIN 2025,"September 5- 6, 2025","Zaragoza, Spain","55 EUR, 150 EUR"
BAYZARA MUSIC FESTIVAL 2025,"September 6- 7, 2025","Keansburg, NJ","120 GEL, 250 GEL"
BELGIAN BEER WEEKEND 2025,"September 5- 7, 2025","Brussels, Belgium","Gratuit, 15 EUR"
BIG BLUES BENDER 2025,"September 4- 7, 2025","Las Vegas, NV","399 USD, 1 999 USD"
BLACK SWAMP ARTS FESTIVAL 2025,"September 5- 7, 2025","Bowling Green, OH","N/A Gratuit, N/A Gratuit"
DANCEFESTOPIA 2025,"September 1- 7, 2025","La Cygne, KS","179 USD, 599 USD"
DECIBEL OPEN AIR 2025,"September 6- 7, 2025","Florence, Italy","85 EUR, 170 EUR"
EBROVISION 2025,"September 4- 7, 2025","Miranda de Ebro, Spain","65 EUR, 80 EUR"
EVANSTON FOLK FESTIVAL 2025,"September 6- 7, 2025","Evanston, IL","30 USD, 125 USD"
EVOLUTIONS FESTIVAL 2025,"September 5- 7, 2025","Caneadea, NY","N/A, N/A"
NEON PRAIRIE 2025,"September 6- 7, 2025","Tulsa, OK","79.50 USD, 159 USD"
RADIO 2 IN THE PARK 2025,"September 5- 7, 2025","Chelmsford, UK","56 GBP, 118 GBP"
SACRED ACRE FESTIVAL 2025,"September 5- 7, 2025","Ninilchik, AK","159 USD, 399 USD"
THE MIRACLE IN MUNDELEIN 2025,"September 6- 7, 2025","Mundelein, IL","25 USD, 150 USD"
UNISON 2025,"September 4- 7, 2025","Aztec, NM","59.99 USD, 249.99 USD"
WHEATLAND MUSIC FESTIVAL 2025,"September 5- 7, 2025","Remus, Michigan","150 USD, 230 USD"
AMERICANAFEST 2025,"September 9- 13, 2025","Nashville, TN","349 USD, 499 USD"
BEND OF THE RIVER 2025,"September 13,  2025","Mankato, MN","69.99 USD, 89.99 USD"
BENDER JAMBOREE 2025,"September 10- 13, 2025","Las Vegas, NV","120 USD, 250 USD"
BORN AND RAISED FESTIVAL 2025,"September 10- 13, 2025","Pyror, OK","299 USD, 2 199 USD"
BY:LARM 2025,"September 11- 13, 2025","Oslo, Norway","2 290 NOK, 4 890 NOK"
CALIFORNIA BREWERS FESTIVAL 2025,"September 13,  2025","Sacramento, CA","45 USD, 55 USD"
ELMHURST CRAFT BEER FEST 2025,"September 13,  2025","Elmhurst, IL","10 USD, 50 USD"
ENVOL ET MACADAM FESTIVAL 2025,"September 11- 13, 2025","Quebec City, QC","49 CAD, 129 CAD"
GOLDRUSH FEST 2025,"September 12- 13, 2025","Chandler, AZ","159 USD, 1 299 USD"
MUCKY WEEKENDER FESTIVAL 2025,"September 11- 13, 2025","Winchester, UK","155 GBP, 185 GBP"
PLISSKEN FESTIVAL 2025,"September 12- 13, 2025","Athens, Greece","40 EUR, 160 EUR"
SUNANDBASS 2025,"September 6- 13, 2025","Sardinia, Italy","N/A, N/A"
WATERWORKS FESTIVAL 2025,"September 13,  2025","London, UK","60 GBP, 180 GBP"
YELLOWSTONE SONGWRITER FESTIVAL 2025,Cancelled,"Cody, WY","59 USD, 399 USD"
ANNAPOLIS SONGWRITERS FESTIVAL 2025,"September 11- 14, 2025","Annapolis, MD","25 USD, 275 USD"
BEAR MUSIC FESTIVAL 2025,"September 11- 14, 2025","Pinecrest, CA","50 USD, 150 USD"
BORDERLAND FESTIVAL 2025,"September 12- 14, 2025","East Aurora, NY","115 USD, 250 USD"
BOURBON & BEYOND 2025,"September 11- 14, 2025","Louisville, KY","99 USD, 2 499 USD"
BRECKENRIDGE OKTOBERFEST 2025,"September 12- 14, 2025","Breckenridge, CO",N/A
BRUGES BEER FESTIVAL 2025,"September 13- 14, 2025","Bruges, Belgium","25 EUR, 125 EUR"
CITYFOLK FESTIVAL 2025,"September 10- 14, 2025","Ottawa, ON","40 CAD, 150 CAD"
FLY OPEN AIR FEST 2025,"September 13- 14, 2025","Edinburgh, Scotland","85 GBP, 145 GBP"
FOUR CHORD MUSIC FEST 2025,"September 13- 14, 2025","Pittsburgh, PA","69 USD, 199 USD"
HARVEST FESTIVAL 2025,"September 9- 14, 2025","Fredericton, NB","50 USD, 300 USD"
HORSESHOE MUSIC FESTIVAL 2025,"September 11- 14, 2025","Jackson, WY","50 USD, 120 USD"
INFRASOUND EQUINOX 2025,"September 11- 14, 2025","Clarks Grove, MN","189 USD, 379 USD"
KNWHERE FESTIVAL 2025,"September 12- 14, 2025","Eganville, ON","N/A, N/A"
LA FETE DE L’HUMANITIE 2025,"September 12- 14, 2025","Le Plessis-Pâté, France","N/A Gratuit, N/A Gratuit"
MCHENRY MUSIC FESTIVAL 2025,"September 12- 14, 2025","McHenry, IL","Gratuit, Gratuit"
MUSIC AT THE INTERSECTION 2025,"September 12- 14, 2025","St. Louis, MO","60 USD, 250 USD"
NOCTURNAL WONDERLAND 2025,"September 13- 14, 2025","San Bernardino, CA","140 USD, 300 USD"
PICKIN’ IN THE PINES 2025,"September 12- 14, 2025","Flagstaff, AZ","50 USD, 190 USD"
PSYCHIC SALAMANDER FESTIVAL 2025,"September 13- 14, 2025","Carnation, WA","130 USD, 330 USD"
RIFFLANDIA 2025,"September 11- 14, 2025","Victoria, BC","50 CAD, 175 CAD"
SEA.HEAR.NOW FESTIVAL 2025,"September 13- 14, 2025","Asbury Park, NJ","175 USD, 275 USD"
SOMMO FESTIVAL 2025,"September 13- 14, 2025","Cavendish, PEI","39 EUR, 99 EUR"
SOUND & GRAVITY 2025,"September 10- 14, 2025","Chicago, IL","89 USD, 250 USD"
TELLURIDE BLUES AND BREWS 2025,"September 12- 14, 2025","Telluride, CO","100 USD, 300 USD"
THE BEST DAY EVER FEST 2025,"September 13- 14, 2025","Portland, OR","99.50 USD, 199.50 USD"
THE TOWN FESTIVAL 2025,"September 6- 14, 2025","São Paulo, Brazil","350 BRL, 1 040 BRL"
ULTRA JAPAN 2025,"September 13- 14, 2025","Tokyo, Japan","48 000 JPY, 60 000 JPY"
VOODOO VILLAGE 2025,"September 13- 14, 2025","Grimbergen, Belgium","N/A, N/A"
WEEDSTOCK 2025,"September 12- 14, 2025","Townsend, Delaware","50 USD, 250 USD"
FARM AID 2025,"September 20,  2025","Minneapolis, MN","75 USD, 500 USD"
HEALING APPALACHIA 2025,"September 19- 20, 2025","Lewisburg, WV","129 USD, 349 USD"
IHEARTRADIO FESTIVAL 2025,"September 19- 20, 2025","Las Vegas, NV","Gratuit, 1 500 USD"
